lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
75,0,135.0,10,20,4,1,0,0,0,0
120,0,94.86,4,5,4,4,0,0,4,0
186,0,108.45,8,7,4,8,4,0,0,0
7,0,79.14,11,15,4,7,2,3,0,0
15,0,164.0,9,26,4,2,1,0,3,1
64,1,143.4,8,27,4,1,2,0,3,0
1,1,89.0,4,16,4,2,2,3,0,1
146,0,115.2,6,3,4,2,0,0,0,1
0,0,75.0,9,21,3,2,1,0,3,1
118,0,76.0,3,1,3,1,0,0,0,1
95,2,151.2,10,17,4,2,1,0,3,1
115,0,55.08,7,30,4,3,0,3,0,0
15,0,76.5,12,8,4,5,2,3,0,1
37,1,83.9,3,7,4,2,1,0,0,1
16,0,75.0,3,11,2,1,0,0,0,1
30,1,92.25,9,25,4,2,2,0,3,1
45,0,79.8,1,23,4,1,1,0,0,1
59,2,71.1,11,2,4,3,0,0,0,1
159,2,146.2,12,22,4,8,4,0,5,1
273,0,95.0,5,13,3,2,1,0,0,0
268,0,78.0,4,8,3,3,2,0,0,0
0,0,88.56,5,20,4,1,0,3,0,0
8,0,95.0,6,24,3,2,0,0,0,1
338,0,80.0,10,7,3,2,1,0,0,0
175,0,130.05,8,15,4,3,1,0,3,0
73,0,38.67,3,21,3,2,1,0,0,1
117,1,97.75,6,28,4,4,0,3,1,1
94,3,72.25,12,4,4,2,1,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
37,2,100.1,3,5,4,1,0,0,0,1
39,2,94.5,10,4,4,2,2,0,0,1
0,0,180.0,9,25,4,1,0,0,3,1
92,1,103.5,11,1,4,4,0,0,3,1
36,1,168.3,7,26,4,5,2,0,3,1
51,0,88.0,11,2,4,4,1,3,0,0
17,1,143.43,11,9,4,4,0,0,3,1
110,0,70.0,12,9,3,4,0,0,0,1
37,0,105.0,10,13,3,3,0,0,0,1
12,0,75.0,10,6,3,3,0,0,3,1
6,0,37.33,11,22,3,1,2,0,0,1
5,2,124.0,8,15,4,1,0,0,0,1
23,0,75.0,10,18,3,3,2,0,3,1
66,1,184.52,10,24,4,2,1,0,6,1
106,0,85.0,4,27,4,4,0,3,0,0
56,0,99.9,6,21,4,2,0,0,0,0
138,1,105.9,5,31,4,3,0,0,0,1
11,0,75.0,1,15,4,2,1,3,0,1
129,0,99.45,5,10,4,4,0,0,0,1
150,1,107.95,8,8,4,5,2,0,0,1
105,0,75.0,4,6,3,1,0,0,0,0
1,0,86.0,2,25,4,1,0,0,0,1
143,1,84.6,11,17,4,1,0,0,0,0
19,0,66.0,2,20,3,1,2,0,0,1
5,1,126.0,4,20,4,3,0,0,3,1
7,0,73.9,1,11,4,5,2,0,0,1
20,0,221.0,4,2,4,1,0,0,5,0
37,1,81.9,3,1,4,2,0,0,0,0
3,1,0.0,2,26,4,0,0,0,0,1
34,0,104.85,10,16,4,2,0,0,0,1
1,3,184.0,10,1,4,1,1,0,0,1
210,0,86.0,10,8,3,3,1,1,0,0
1,0,85.5,8,28,4,0,2,3,0,1
109,0,108.0,10,11,4,1,0,3,0,0
85,1,85.0,10,6,3,3,1,0,0,1
90,2,149.4,9,8,4,1,0,0,3,1
18,1,111.0,2,11,4,3,0,0,0,1
45,0,111.6,10,3,4,3,1,0,3,0
37,1,95.4,3,1,4,4,0,0,3,0
280,0,110.0,9,19,3,2,1,0,0,0
47,0,120.0,9,13,3,3,0,0,3,1
9,1,0.0,9,7,1,1,0,0,1,1
35,0,99.0,9,26,3,0,1,0,0,1
1,1,96.0,3,23,4,1,0,0,0,1
20,1,231.0,8,6,4,1,0,0,5,1
32,0,85.0,3,11,3,3,2,0,0,1
1,0,85.0,2,12,3,2,1,0,0,1
71,0,75.95,2,23,4,4,0,0,0,1
1,0,107.0,9,22,3,1,0,0,3,1
16,0,104.0,8,15,3,1,1,1,0,1
98,1,103.5,7,6,4,4,2,3,0,1
12,1,149.33,7,18,4,2,1,0,3,1
92,2,117.0,10,6,4,1,0,3,0,1
2,2,127.0,4,20,4,2,0,0,0,1
56,2,119.0,11,22,4,4,0,0,3,1
21,0,157.0,6,1,4,2,0,0,3,0
1,0,93.0,7,20,3,1,0,0,0,1
5,1,165.75,11,6,4,2,2,0,0,0
84,0,73.95,3,12,3,5,2,0,0,1
207,1,123.25,8,29,4,3,1,0,0,0
229,1,96.3,8,5,4,2,1,0,0,1
100,1,79.2,11,12,4,1,0,3,0,1
52,3,105.4,12,19,4,5,1,0,0,1
57,1,108.9,4,1,4,2,1,0,0,0
2,1,123.68,11,21,4,3,1,1,0,1
26,1,125.83,10,6,4,3,0,0,0,1
79,0,60.0,12,11,3,2,1,0,3,1
11,0,67.0,11,25,2,1,0,0,0,1
50,1,87.3,3,11,4,2,1,0,3,1
